Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Ganhadores_Quina,Ganhadores_Quadra
301,283,48,34,28,54,25,42,1,36,2126
302,284,8,36,14,32,30,7,1,75,5358
303,285,50,56,41,12,32,37,0,17,1173
304,286,44,37,56,29,47,35,0,59,3739
305,287,60,47,3,33,25,13,1,110,5633
306,288,50,9,18,11,6,17,0,82,4763
307,289,36,6,30,20,7,25,0,29,2197
308,290,57,30,7,25,40,26,0,56,4869
309,291,22,16,5,41,18,17,0,71,4870
310,292,24,34,53,45,23,13,0,116,8670
311,293,6,12,35,5,28,7,0,167,10185
312,294,28,45,41,22,57,25,2,130,7434
313,294,28,45,41,22,57,25,2,130,7434
314,295,24,44,7,31,12,50,0,36,2055
315,296,20,51,42,3,52,46,0,29,2348
316,297,20,28,41,1,33,36,0,25,1920
317,298,22,34,24,23,5,60,1,50,4372
318,299,7,5,2,53,33,49,0,33,2049
319,300,27,57,41,38,28,24,0,48,4820
320,301,58,26,49,57,48,9,0,28,2892
321,302,25,40,12,60,30,41,0,101,6361
322,303,7,13,30,37,47,17,1,215,12861
323,304,42,7,11,34,59,41,0,58,3274
324,305,11,5,27,60,38,53,0,47,3770
325,306,30,19,57,41,56,47,0,28,2294
326,307,26,17,13,41,16,44,0,44,3962
327,308,55,25,4,11,29,39,1,62,5173
328,309,39,50,25,55,11,4,1,3001,2997
329,310,28,14,29,2,31,32,0,81,5093
330,311,32,22,24,41,30,38,0,31,2871
331,312,14,30,50,41,47,23,0,76,4985
332,313,14,38,53,24,16,37,0,61,5547
333,314,5,32,40,58,37,34,0,93,5542
334,315,50,21,43,12,28,22,1,43,4598
335,316,28,51,56,6,24,43,0,104,4093
336,317,27,20,48,16,30,35,0,23,2088
337,318,19,53,40,3,31,20,1,46,3071
338,319,12,16,23,17,19,48,0,52,3342
339,320,20,53,47,50,22,27,0,77,4916
340,321,11,31,32,48,49,4,0,55,3729
341,322,18,11,29,44,47,56,0,87,7835
342,323,31,49,54,33,26,40,0,56,4244
343,324,22,8,30,15,47,25,0,211,12192
344,325,4,23,3,1,21,53,2,256,15646
345,325,4,23,3,1,21,53,2,256,15646
346,326,52,23,40,51,44,21,0,27,2674
347,327,46,38,29,33,32,48,0,16,2112
348,328,51,5,23,7,14,21,1,100,7121
349,329,24,11,40,12,35,10,0,40,2904
350,330,2,4,23,37,14,51,0,120,7914
351,331,27,1,35,20,37,13,0,70,6408
352,332,28,23,42,29,44,34,0,83,6713
353,333,35,27,53,44,52,4,0,93,6221
354,334,41,26,51,14,24,23,2,1200,8839
355,334,41,26,51,14,24,23,2,1200,8839
356,335,43,33,57,23,59,7,0,24,2134
357,336,2,18,54,22,30,26,0,68,4141
358,337,31,52,14,54,16,4,0,34,3454
359,338,48,46,9,1,36,4,0,43,3245
360,339,13,16,12,5,27,50,0,76,6908
361,340,10,60,42,9,33,12,0,121,6970
362,341,56,23,22,43,16,5,0,166,11103
363,342,29,49,54,51,16,34,0,93,5578
364,343,4,6,7,24,12,41,2,246,17023
365,343,4,6,7,24,12,41,2,246,17023
366,344,33,36,12,35,10,14,0,46,3487
367,345,56,11,58,46,51,22,1,27,2170
368,346,56,7,46,60,41,12,0,20,1589
369,347,26,10,52,1,12,48,0,72,4730
370,348,39,40,33,52,19,30,0,19,1547
371,349,9,38,32,8,54,28,0,46,3264
372,350,23,30,43,10,15,57,0,80,5012
373,351,15,16,59,60,24,41,0,98,5832
374,352,49,7,47,25,20,44,0,161,8080
375,353,60,46,30,55,23,19,0,89,6862
376,354,40,52,38,16,7,41,1,93,6184
377,355,2,37,22,60,14,23,0,50,4711
378,356,54,19,5,58,56,21,0,32,2415
379,357,45,53,32,2,30,35,0,34,3265
380,358,40,42,32,12,21,17,0,84,5798
381,359,31,54,20,29,13,19,0,56,3953
382,360,47,24,29,55,53,23,0,133,8382
383,361,41,28,45,31,16,59,0,98,5236
384,362,37,20,33,46,7,56,1,110,8313
385,363,39,54,29,49,47,19,0,27,2225
386,364,59,44,29,5,51,57,1,76,3315
387,365,52,19,34,37,58,23,1,45,2433
388,366,6,4,51,7,21,15,0,41,3489
389,367,52,49,27,33,12,10,1,71,3040
390,368,13,50,38,32,44,29,0,53,3220
391,369,21,42,1,60,35,14,1,46,4167
392,370,51,42,4,54,1,40,0,40,3230
393,371,23,33,39,4,60,18,0,47,3979
394,372,24,17,46,57,16,39,2,85,6743
395,372,24,17,46,57,16,39,2,85,6743
396,373,31,33,24,10,5,1,0,52,3292
397,374,54,2,26,5,44,16,0,80,3326
398,375,51,9,42,5,58,1,0,33,2359
399,376,25,13,10,43,35,48,0,110,6956
400,377,46,19,3,45,12,27,0,87,5468
401,378,55,45,48,41,5,38,0,36,3115
402,379,41,55,24,59,33,40,0,32,2830
403,380,47,22,13,30,31,57,0,206,7186
404,381,9,56,46,28,10,55,0,85,7295
405,382,54,38,53,31,37,34,0,68,6291
406,383,48,22,53,56,50,14,0,73,6573
407,384,28,50,47,24,40,52,0,151,10644
408,385,22,12,24,18,5,16,2,759,37449
409,385,22,12,24,18,5,16,2,759,37449
410,386,39,54,43,36,17,35,0,70,5236
411,387,29,28,48,47,43,22,0,40,2998
412,388,52,48,53,58,23,36,0,46,4293
413,389,46,14,54,18,43,5,0,63,4169
414,390,7,22,34,12,38,53,1,171,10722
415,391,7,15,35,16,40,4,0,44,2740
416,392,49,47,39,31,15,23,1,68,3591
417,393,12,50,36,6,35,40,0,31,1949
418,394,15,49,42,5,45,35,0,47,4815
419,395,11,58,31,14,10,20,1,27,2328
420,396,47,18,6,45,34,42,0,63,4201
421,397,32,24,2,5,1,46,0,61,4026
422,398,28,7,16,37,36,22,1,63,5106
423,399,59,55,16,27,47,11,0,20,1730
424,400,29,59,13,10,54,28,0,75,4875
425,401,50,18,44,53,11,43,0,33,2853
426,402,27,43,58,5,16,56,0,146,7787
427,403,46,31,7,16,60,27,0,48,4099
428,404,24,38,58,1,40,28,0,66,4364
429,405,57,60,34,24,29,47,0,67,4579
430,406,47,32,48,12,38,2,0,78,6557
431,407,49,2,18,51,22,57,0,90,6383
432,408,49,44,33,28,56,14,1,269,13970
433,409,26,49,25,18,31,34,0,23,1958
434,410,31,55,36,24,8,38,0,101,5799
435,411,10,56,12,31,45,38,0,91,5115
436,412,45,5,14,21,59,12,0,89,8542
437,413,35,53,29,33,2,4,0,102,7746
438,414,35,26,58,52,45,16,1,51,5527
439,415,38,44,4,1,27,42,0,40,2415
440,416,13,1,23,56,54,33,0,44,4032
441,417,25,7,12,21,42,34,0,78,5218
442,418,45,8,32,49,15,52,2,82,5133
443,418,45,8,32,49,15,52,2,82,5133
444,419,41,42,52,53,16,9,0,30,1594
445,420,43,12,59,30,57,29,0,83,5614
446,421,38,45,35,37,5,51,0,47,4716
447,422,60,12,56,37,55,43,0,80,6516
448,423,8,22,33,40,32,53,0,66,4178
449,424,29,36,27,18,59,46,0,91,7389
450,425,6,16,10,34,47,42,1,279,17411
451,426,7,32,54,50,30,37,0,58,3139
452,427,51,13,43,24,3,14,0,48,3563
453,428,60,8,32,28,46,30,0,48,3734
454,429,55,32,17,36,26,43,0,44,3300
455,430,50,21,10,25,38,8,1,85,6944
456,431,58,26,40,37,47,52,0,20,1184
457,432,50,17,13,27,4,39,0,54,4278
458,433,36,17,28,16,54,30,0,31,2332
459,434,24,17,4,54,30,10,0,84,4870
460,435,37,11,17,31,43,10,0,55,3243
461,436,1,6,57,29,48,7,0,47,4696
462,437,54,10,59,44,30,7,0,33,2829
463,438,38,48,14,3,11,5,0,65,6276
464,439,42,13,20,29,43,57,0,65,4407
465,440,46,23,30,47,5,3,0,139,10120
466,441,2,15,58,10,59,21,0,121,6941
467,442,15,31,23,6,59,37,1,135,9944
468,443,11,36,17,26,52,48,0,47,3738
469,444,48,52,57,24,3,33,0,43,3332
470,445,31,50,7,53,32,20,0,31,3101
471,446,11,20,8,47,12,17,2,65,5039
472,446,11,20,8,47,12,17,2,65,5039
473,447,24,55,15,33,25,42,0,55,5613
474,448,5,3,52,45,9,51,0,40,2999
475,449,34,56,24,1,49,8,0,55,3656
476,450,59,51,13,1,9,50,0,108,6194
477,451,23,18,31,17,53,28,0,87,7368
478,452,54,11,51,16,36,30,0,76,6317
479,453,58,52,8,34,20,23,0,120,7882
480,454,4,17,42,56,46,24,0,275,16564
481,455,50,15,17,2,14,59,0,86,7989
482,456,17,40,22,27,33,3,0,221,16964
483,457,48,15,24,27,17,32,3,480,31340
484,457,48,15,24,27,17,32,3,480,31340
485,457,48,15,24,27,17,32,3,480,31340
486,458,43,53,13,32,34,24,0,82,3921
487,459,43,17,8,15,49,39,0,62,4197
488,460,19,55,30,23,37,49,0,155,9464
489,461,30,17,20,29,15,60,0,189,8312
490,462,27,48,17,19,26,22,0,212,14463
491,463,7,18,2,45,3,53,0,166,15269
492,464,6,33,45,38,24,50,1,241,15457
493,465,46,31,1,57,22,51,0,19,2175
494,466,28,16,45,29,30,11,0,64,3582
495,467,38,21,8,22,18,60,0,45,3907
496,468,23,6,25,39,51,5,0,58,4701
497,469,29,47,42,21,13,26,2,187,8798
498,469,29,47,42,21,13,26,2,187,8798
499,470,51,58,23,11,8,37,0,86,6094
500,471,51,59,31,5,36,32,0,76,5490
501,472,12,3,38,29,51,4,0,82,6518
502,473,51,7,58,49,23,41,0,65,6524
503,474,34,3,12,50,32,40,0,56,6910
504,475,19,6,43,52,8,22,0,156,13235
505,476,38,43,20,55,17,58,0,163,11465
506,477,47,34,8,6,18,38,3,279,21958
507,477,47,34,8,6,18,38,3,279,21958
508,477,47,34,8,6,18,38,3,279,21958
509,478,30,8,31,3,21,25,0,92,4876
510,479,20,54,58,26,41,46,0,32,2834
511,480,36,38,33,14,49,41,0,112,8589
512,481,42,6,24,44,22,13,3,359,19465
513,481,42,6,24,44,22,13,3,359,19465
514,481,42,6,24,44,22,13,3,359,19465
515,482,13,56,12,33,53,54,0,41,2929
516,483,16,23,35,18,44,59,0,90,6279
517,484,53,19,38,18,17,49,0,55,4015
518,485,38,28,52,30,19,57,0,30,3203
519,486,50,42,19,8,30,14,1,55,4325
520,487,25,22,48,52,54,8,2,104,5329
521,487,25,22,48,52,54,8,2,104,5329
522,488,30,39,35,43,15,57,0,46,2699
523,489,28,36,17,53,33,59,0,67,5107
524,490,5,11,29,54,23,58,1,148,8438
525,491,22,43,15,55,9,1,1,81,4221
526,492,57,2,15,6,56,18,0,26,2629
527,493,54,20,3,18,42,24,0,79,5294
528,494,28,32,49,53,18,20,0,32,2766
529,495,36,15,60,8,29,49,0,48,5313
530,496,41,20,19,29,59,10,0,31,3495
531,497,9,41,32,13,58,20,0,72,5439
532,498,49,28,2,6,57,50,0,58,4592
533,499,59,1,11,5,44,4,1,126,8903
534,500,35,21,54,29,38,36,1,73,6818
535,501,34,27,56,28,16,39,0,43,3037
536,502,50,7,33,21,24,13,2,268,9549
537,502,50,7,33,21,24,13,2,268,9549
538,503,10,21,48,27,49,7,0,40,2934
539,504,39,19,11,8,50,30,0,54,4006
540,505,47,20,52,3,46,28,0,30,2559
541,506,31,37,34,15,38,4,0,65,4735
542,507,44,58,5,27,33,3,2,212,6604
543,507,44,58,5,27,33,3,2,212,6604
544,508,46,56,5,15,45,10,0,33,3025
545,509,32,55,34,35,28,33,0,39,2852
546,510,30,45,58,1,4,41,2,70,4392
547,510,30,45,58,1,4,41,2,70,4392
548,511,8,36,34,37,3,4,0,50,3155
549,512,8,40,58,4,53,31,3,41,2277
550,512,8,40,58,4,53,31,3,41,2277
551,512,8,40,58,4,53,31,3,41,2277
552,513,46,10,27,19,33,39,0,46,2427
553,514,15,52,40,36,51,42,0,20,1209
554,515,39,16,57,15,45,48,0,33,2636
555,516,24,5,34,13,35,33,0,164,7718
556,517,51,32,8,28,38,7,0,36,3262
557,518,44,8,5,15,18,10,0,182,8653
558,519,9,36,15,19,42,22,0,111,7018
559,520,32,34,17,35,9,12,0,166,10884
560,521,28,32,38,25,15,45,0,166,10610
561,522,49,52,15,25,14,6,0,118,8280
562,523,45,58,40,39,28,44,0,123,9692
563,524,47,29,34,48,19,41,1,180,17156
564,525,26,32,24,49,8,10,2,153,9640
565,525,26,32,24,49,8,10,2,153,9640
566,526,3,59,21,36,55,31,0,34,2444
567,527,17,14,50,52,6,26,0,23,2091
568,528,34,28,37,12,8,31,0,67,4827
569,529,56,45,13,33,38,1,15,87,4758
570,529,56,45,13,33,38,1,15,87,4758
571,529,56,45,13,33,38,1,15,87,4758
572,529,56,45,13,33,38,1,15,87,4758
573,529,56,45,13,33,38,1,15,87,4758
574,529,56,45,13,33,38,1,15,87,4758
575,529,56,45,13,33,38,1,15,87,4758
576,529,56,45,13,33,38,1,15,87,4758
577,529,56,45,13,33,38,1,15,87,4758
578,529,56,45,13,33,38,1,15,87,4758
579,529,56,45,13,33,38,1,15,87,4758
580,529,56,45,13,33,38,1,15,87,4758
581,529,56,45,13,33,38,1,15,87,4758
582,529,56,45,13,33,38,1,15,87,4758
583,529,56,45,13,33,38,1,15,87,4758
584,530,32,21,25,1,6,49,0,49,3771
585,531,3,1,35,7,18,50,0,96,5188
586,532,13,4,12,53,9,52,0,69,5314
587,533,27,18,13,59,21,53,0,82,5129
588,534,48,57,23,8,31,3,1,107,6559
589,535,49,14,47,56,6,28,1,59,4136
590,536,14,22,25,15,37,23,0,49,3217
591,537,37,3,19,34,39,7,1,128,5345
592,538,45,43,56,25,52,3,0,36,2657
593,539,16,50,55,6,47,19,0,21,1908
594,540,22,4,30,44,28,49,0,84,4535
595,541,58,57,27,13,49,52,1,54,4879
596,542,49,4,19,28,35,6,0,42,2800
